------Mass density on XY plane (unit:g/cm^3)------
dx = 2.000, dy = 2.000, dz = 72.000
xpos   ypos   zpos   massDensity
25.000 67.000 36.000 1.136759
25.000 69.000 36.000 1.130947
25.000 71.000 36.000 1.303817
25.000 73.000 36.000 0.940642
25.000 75.000 36.000 1.003830
25.000 77.000 36.000 0.663903
25.000 79.000 36.000 0.836772
25.000 81.000 36.000 1.044512
25.000 83.000 36.000 0.634844
25.000 85.000 36.000 1.263876
25.000 87.000 36.000 0.530974
25.000 89.000 36.000 1.096076
25.000 91.000 36.000 0.929019
25.000 93.000 36.000 0.934830
25.000 95.000 36.000 1.032889
25.000 97.000 36.000 0.911583
25.000 99.000 36.000 1.229005
25.000 101.000 36.000 1.032889
25.000 103.000 36.000 1.125135
25.000 105.000 36.000 0.940642
25.000 107.000 36.000 0.830960
25.000 109.000 36.000 0.934830
25.000 111.000 36.000 1.229005
25.000 113.000 36.000 0.940642
25.000 115.000 36.000 1.021265
27.000 1.000 36.000 0.473598
27.000 3.000 36.000 0.634844
27.000 5.000 36.000 0.929019
27.000 7.000 36.000 1.113512
27.000 9.000 36.000 0.669714
27.000 11.000 36.000 1.009642
27.000 13.000 36.000 0.929019
27.000 15.000 36.000 1.413498
27.000 17.000 36.000 1.154194
27.000 19.000 36.000 1.003830
27.000 21.000 36.000 0.242611
27.000 23.000 36.000 0.842584
27.000 25.000 36.000 0.854207
27.000 27.000 36.000 1.199946
27.000 29.000 36.000 0.836772
27.000 31.000 36.000 0.542597
27.000 33.000 36.000 1.119323
27.000 35.000 36.000 0.940642
27.000 37.000 36.000 1.327064
27.000 39.000 36.000 0.634844
27.000 41.000 36.000 1.246440
27.000 43.000 36.000 1.258064
27.000 45.000 36.000 0.703843
27.000 47.000 36.000 0.854207
27.000 49.000 36.000 0.934830
27.000 51.000 36.000 1.171629
27.000 53.000 36.000 1.217382
27.000 55.000 36.000 0.738714
27.000 57.000 36.000 1.027077
27.000 59.000 36.000 1.038700
27.000 61.000 36.000 0.617408
27.000 63.000 36.000 1.211570
27.000 65.000 36.000 0.652279
27.000 67.000 36.000 0.923207
27.000 69.000 36.000 1.044512
27.000 71.000 36.000 0.525162
27.000 73.000 36.000 0.761961
27.000 75.000 36.000 1.101888
27.000 77.000 36.000 0.929019
27.000 79.000 36.000 0.842584
27.000 81.000 36.000 1.050324
27.000 83.000 36.000 0.761961
27.000 85.000 36.000 1.205758
27.000 87.000 36.000 0.952266
27.000 89.000 36.000 0.640655
27.000 91.000 36.000 0.934830
